nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test,ConfInt
87,0.6212790788349359,0.5970034004504694,0.6245765616899149,0.6073544692177762,8.539609191071345e-05
88,0.6212853021285096,0.5969738541104903,0.6245638919441817,0.6073145057373981,7.57165183872004e-05
89,0.6212703487367118,0.5970166806629529,0.6245618425986851,0.6073672137181239,8.456457579466569e-05
90,0.6212752766620723,0.5969320228630319,0.6245312641357486,0.6072666225832332,4.115580487338705e-05
91,0.6212835095525417,0.5969861390179696,0.6245454956623907,0.607322425411185,5.9468816121108235e-05
92,0.6212836690933783,0.5969595785930029,0.6245493219421926,0.6072969364104895,6.686846097973514e-05
93,0.6212759560275735,0.5969861390179696,0.6245226855416087,0.607322425411185,5.9468816121108235e-05
94,0.6212829161217979,0.5970166806629529,0.6245540570104449,0.6073672137181239,8.456457579466569e-05
95,0.6212820467645879,0.5969748494154944,0.6245539450295294,0.607319330563959,8.170269769641143e-05
96,0.6220844552601714,0.6075224662287553,0.6229680627072188,0.6169928615227274,3.771991822382687e-05
97,0.6220784117497675,0.6075091860162718,0.6229850264235421,0.6169801170223796,4.032428875733929e-05
98,0.6220817041211643,0.6074929198887762,0.6229913310874997,0.6169752794443089,8.957985473865423e-05
99,0.6220818421375572,0.6075081907112677,0.6229709351035323,0.6170031318109108,6.426409044622272e-05
100,0.6220804912443673,0.6074919245837721,0.6229809786771023,0.6169779150850679,9.547794218376546e-05
101,0.6220756679062829,0.6074806349812969,0.6229747905434655,0.6169598993032022,9.341263320213509e-05
102,0.6221017261004314,0.6074949104987845,0.6230079029497924,0.6169700081627909,6.686846097973514e-05
103,0.6220834033889661,0.6075224662287553,0.6229789410793571,0.6169928615227274,3.771991822382687e-05
104,0.622064068290158,0.6074959058037885,0.6229743596111728,0.6169673725220319,4.115580487338705e-05
105,0.6220816487487982,0.6074673547688134,0.6229805822901653,0.6169471548028544,9.424414931818285e-05
106,0.6220870316580841,0.6075081907112677,0.6229923116320506,0.6169827526631387,6.426409044622272e-05
107,0.622078239544547,0.6074786443712886,0.6229815234513639,0.6169651705847201,0.00010370910315844013
108,0.6220777234978022,0.6075081907112677,0.6229817734592483,0.6169827526631387,6.426409044622272e-05
109,0.6220834104736219,0.6074806349812969,0.6230059806331771,0.6169598993032022,7.57165183872004e-05
110,0.6220833523957243,0.6074102526988634,0.6230048230042818,0.6169067193644995,0.0001119402641331141
111,0.6220648868173494,0.6074663594638092,0.6229782863690649,0.6169701695913857,9.697949959728111e-05
112,0.6220716408017699,0.6074520839463219,0.6229713860870885,0.6169396815840248,0.00011110874801706701
113,0.6220815176021345,0.6074653641588051,0.6229886429255617,0.6169524260843724,9.641129131200434e-05
114,0.6220865325368777,0.6074806349812969,0.6229946998323032,0.6169598993032022,9.341263320213509e-05
115,0.6220873959163449,0.6075071954062636,0.6229882846751433,0.6169853883038977,6.831687352857352e-05
116,0.6220765526237005,0.6074959058037885,0.6229778604061547,0.6169673725220319,4.115580487338705e-05
117,0.6220822854252854,0.6074663594638092,0.622986741156992,0.6169497904436134,9.697949959728111e-05
118,0.6220787620249645,0.607425523521355,0.6229859466343882,0.6169141925833292,0.00011110874801706701
119,0.6221988835751882,0.6085133476642536,0.6229579475220035,0.6173956201385133,4.115580487340082e-05
120,0.6222013845325824,0.6085133476642536,0.622938205851997,0.6173956201385133,4.115580487340082e-05
121,0.6229811186764174,0.6082401034231537,0.6226172364393288,0.6171222829003664,3.771991822382687e-05
122,0.6229760666983086,0.608213542998187,0.6226120338650213,0.617096793899671,4.115580487338705e-05
123,0.622982035793042,0.6081574362332409,0.6226294724419097,0.6170741019683292,9.697949959728111e-05
124,0.6229867922522057,0.6082268232106702,0.62264946207395,0.6171095384000187,4.032428875733929e-05
125,0.6229707032510083,0.608213542998187,0.6226181586634629,0.617096793899671,4.115580487338705e-05
126,0.6229717671314395,0.6082666638481206,0.6226070147392658,0.6171477719010618,2.469348292403774e-05
127,0.6229711492311779,0.608184991963212,0.6226120717949584,0.6170765761804935,9.424414931818285e-05
128,0.6229744996712127,0.6082268232106702,0.6226239948317766,0.6171095384000187,4.032428875733929e-05
129,0.6229922159780269,0.6082268232106702,0.6226138753169578,0.6171095384000187,4.032428875733929e-05
130,0.6229830393950564,0.6081737023607368,0.6226235633587812,0.6170585603986278,3.29246438987124e-05
131,0.6230491175405222,0.6087314712850395,0.6224117338626701,0.617403267301494,4.032428875733929e-05
132,0.623065139084395,0.6087029202500644,0.6224166098529997,0.6173830495823165,9.341263320213509e-05
133,0.6230497674279657,0.6087171957675521,0.6223899113029887,0.6174135375896774,6.686846097973514e-05
134,0.6230609578458424,0.6087162004625478,0.6224198789916723,0.6173957940826642,9.424414931818285e-05
135,0.6230642952663711,0.6087009296400563,0.6224528004377636,0.6174290791593788,8.367074048362512e-05
136,0.6230506841700519,0.6087152051575437,0.6223874194604807,0.6174188088711954,9.69794995972811e-05
137,0.6230542726314436,0.6087314712850395,0.6224086716685742,0.617403267301494,4.032428875733929e-05
138,0.6230776434771914,0.6092958470047704,0.6222009659022167,0.6178557009630017,6.76999770957829e-05
139,0.6230769437736338,0.6092805761822788,0.6221706334571122,0.617848227744172,9.69794995972811e-05
140,0.6230795033652063,0.6093081319122498,0.6222136188016516,0.6178710811041084,9.080826266862267e-05
141,0.6230760264323741,0.6092795808772747,0.6221706460319979,0.6178508633849309,9.641129131200433e-05
142,0.6230879820904518,0.6093234027347412,0.622172021178791,0.6178785543229381,4.032428875733929e-05
143,0.6230778609040266,0.6092397402398244,0.6221862005152048,0.6178126298838877,0.00011110874801706701
144,0.6230685934658017,0.6093224074297371,0.6221710906636749,0.6179015691114693,6.426409044622272e-05
145,0.6236804228532655,0.608784677077345,0.6225207213792081,0.6172726697076418,9.424414931819662e-05
146,0.6234633453670917,0.6085515006948675,0.622504795818759,0.6168023045411176,4.032428875733929e-05
147,0.6232616687444738,0.6083824599299124,0.622501338097557,0.6167377352218075,9.967886225308111e-05
148,0.6230296556561449,0.6083153383973781,0.6223154442077877,0.6168923711783351,6.686846097973514e-05
149,0.6230398675488183,0.6083010628798904,0.6223518395153117,0.6168822623187463,9.341263320213509e-05
150,0.6230237133716308,0.6083143430923739,0.6222807409767287,0.6168950068190939,9.080826266862267e-05
151,0.623023704861736,0.6083266279998533,0.622319402628859,0.6169103869602007,8.134869376397955e-05
152,0.6230440950935615,0.6083296139148654,0.6223455626734451,0.6169024800379238,4.032428875733929e-05
153,0.6230245792044581,0.6083276233048572,0.6223291910110935,0.6169077513194419,8.601298834350819e-05
154,0.623033586538676,0.6082459514199486,0.6223757692325504,0.6168365555988734,9.901566184551676e-05
155,0.6230288116277028,0.6083020581848946,0.6223592227147041,0.6168796266779873,6.76999770957829e-05
156,0.6231024040529193,0.6084604254296913,0.621881719249878,0.6171961891828996,8.601298834350819e-05
157,0.6230906909727627,0.6084471452172078,0.6218470850589808,0.6171834446825519,9.080826266862267e-05
158,0.6231008896729989,0.6084338650047245,0.6218841488130785,0.6171707001822042,9.341263320213509e-05
159,0.6231017652915052,0.6084604254296913,0.6218866483484218,0.6171961891828996,8.601298834350819e-05
160,0.6231037847081689,0.608449135827216,0.6218605066743754,0.617178173401034,4.115580487338705e-05
161,0.6231051821746284,0.6084348603097286,0.6218855772605256,0.6171884436892174,6.76999770957829e-05
162,0.6231025266379847,0.6084756962521828,0.6219064459230689,0.6172036624017294,3.771991822382687e-05
